##############################################################################
#                                                                            #
#	                Open Babel file: types.txt                           #
#                                                                            #
#  Copyright (c) 1998-2001 by OpenEye Scientific Software, Inc.              #
#  Some portions Copyright (c) 2001-2003 Geoffrey R. Hutchison               #
#  Part of the Open Babel package, under the GNU General Public License (GPL)#
#                                                                            #
#  Conversion between different external atom types                          #
#    (used by data.cpp:OBTypeTable)                                          #
#                                                                            #
#  First line specifies size of the table: # rows   # columns                #
#  Second line specifies type names used in the code                         #
#  Remaining lines specify equivalent atomic type names in each column       #
#                                                                            #
##############################################################################
183	19
INT	ATN	HYB	MMD	MM2	XYZ	ALC	HAD	MCML	C3D	SYB	MOL	MAP	DRE	XED	DOK	M3D	IDX	SBN
At	85	0	0	0	At	0	0	0	0	At	0	0	0	0	0	0	156	26
Rn	86	0	0	0	Rn	0	0	0	0	Rn	0	0	0	0	0	0	157	26
Fr	87	0	0	0	Fr	0	0	0	0	Fr	0	0	0	0	0	0	158	26
Ra	88	0	0	0	Ra	0	0	0	0	Ra	0	0	0	0	0	0	159	26
Ac	89	0	0	0	Ac	0	0	0	0	Ac	0	0	0	0	0	0	160	26
Th	90	0	0	0	Th	0	0	0	0	Th	0	0	0	0	0	0	161	26
Pa	91	0	0	0	Pa	0	0	0	0	Pa	0	0	0	0	0	0	162	26
U	92	0	0	0	U	0	0	0	0	U	0	0	0	0	0	0	163	26
Np	93	0	0	0	Np	0	0	0	0	Np	0	0	0	0	0	0	164	26
Pu	94	0	0	0	Pu	0	0	0	0	Pu	0	0	0	0	0	0	165	26
Am	95	0	0	0	Am	0	0	0	0	Am	0	0	0	0	0	0	166	26
Cm	96	0	0	0	Cm	0	0	0	0	Cm	0	0	0	0	0	0	167	26
Bk	97	0	0	0	Bk	0	0	0	0	Bk	0	0	0	0	0	0	168	26
Cf	98	0	0	0	Cf	0	0	0	0	Cf	0	0	0	0	0	0	169	26
Es	99	0	0	0	Es	0	0	0	0	Es	0	0	0	0	0	0	170	26
